Reference, Quantity, Value, Footprint
C1 C5 C6 C7 C8 C10 C15 C17 C29 C31 C33 C36 C37 C38 C39 C40 C41 C42 C43 C44 C45 C46 C47 C49 C51 C52 C53 C54 C55 C56 C64 C65 C69 C70 C71 C72 C73 C74 C75 C76 C78 C80 C81 C82 C83 C85 C86 C87 C88 C93 C94 C95 C96 C97 C98 C99 C100 C101 C102 C103 C104 C105 C106 C107 C108 C109 C110 C111 C112 C113 C114 C115 ,72,0.1u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C11 C21 C32 ,3,10u,Capacitor_SMD:CP_Elec_4x5.4
C119 C120 C124 C125 C179 C181 C185 ,7,820p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C12 C77 ,2,1u,Capacitor_SMD:CP_Elec_4x5.4
C121 C123 ,2,680p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C122 ,1,390p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C131 C143 C165 C170 ,4,150p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C132 C135 C139 C142 C150 C154 ,6,10p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C146 C148 C149 C155 C156 C158 ,6,100p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C147 C157 C162 C172 ,4,18p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C152 C161 C166 C168 C173 ,5,220p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C18 C24 C25 ,3,47n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C182 ,1,56p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C19 C22 ,2,22u,Capacitor_SMD:CP_Elec_5x5.4
C2 C26 ,2,470u,Capacitor_SMD:CP_Elec_10x10.5
C13 C14 C20 C79 ,4,220u,Capacitor_SMD:CP_Elec_8x10.5
C23 C91 C92 ,3,0.01u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C27 ,1,47u,Capacitor_SMD:CP_Elec_6.3x5.8
C28 C30 ,2,4.7n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C35 ,1,4.7u,Capacitor_SMD:CP_Elec_4x5.4
C4 C84 ,2,0.33u,Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm
C48 C116 C117 C127 C128 C177 C187 ,7,470p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C57 C58 C59 C60 C61 C62 C134 C136 C140 C164 C169 ,11,270p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C63 C66 C137 C180 C184 ,5,22p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C67 ,1,8p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C68 ,1,2p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C89 C90 ,2,1000p,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
C9 C16 C50 ,3,100u,Capacitor_SMD:CP_Elec_6.3x7.7
D1 D6 ,2,SS14,Diode_SMD:D_SMA_Handsoldering
D9 D10 ,2,1N34/D9B/D311,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
D2 D3 D4 D5 ,4,1N4148W,Diode_SMD:D_SOD-123
D7 D8 D11 D12 D13 D14 D15 D16 D17 D18 D19 D20 D21 ,13,M7,Diode_SMD:D_SMA_Handsoldering
FL1 FL2 ,2,45M15B (*),Crystal:Resonator-3Pin_W7.0mm_H2.5mm
H1 H2 H3 H4 ,4,MH,MountingHole:MountingHole_3.2mm_M3_Pad_Via
J1 ,1,ON/OFF,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
J10 ,1,BluePill_Right,Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical
J11 ,1,MAIN,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical
J12 ,1,BAND,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
